winery,wine,vintage,region,country,avg_rating,ratings_count,avg_price,currency,wine_link
Thomas-Collardot,Crémant de Bourgogne Brut Blanc,,Crémant de Bourgogne,France,4.2,71,45.33,GBP,https://www.vivino.com/en/thomas-collardot-cremant-de-bourgogne-brut-blanc-cremant-de-bourgogne-sparkling-v/w/8652410
Bailly Lapierre,Vive-la-Joie Brut Rosé,2019,Crémant de Bourgogne,France,0.0,18,,,https://www.vivino.com/en/bailly-lapierre-vive-la-joie-brut-rose/w/2318889?year=2019
Henri Champliau,Crémant de Bourgogne Brut Authentique,,Crémant de Bourgogne,France,4.1,1491,17.50,GBP,https://www.vivino.com/en/henri-champliau-cremant-de-bourgogne-brut-authentique/w/6495882
Aldi,Specially Selected Chardonnay,2023,Napa Valley,United States,4.0,50,,,https://www.vivino.com/en/aldi-specially-selected-chardonnay/w/12527307?year=2023
Bowler & Brolly,English Sparkling Classic Cuvée Brut,,Hampshire,United Kingdom,3.9,241,,,https://www.vivino.com/en/bowler-brolly-english-sparkling-classic-cuvee-brut/w/10198730
Domaine Léon Boesch,Soixante Douze Crémant d'Alsace,,Crémant d'Alsace,France,3.9,253,,,https://www.vivino.com/en/fr-leon-boesch-soixante-douze-cremant-d-alsace/w/3716469
Les Caves de la Loire,Crémant de Loire Brut,,Crémant de Loire,France,3.7,295,,,https://www.vivino.com/en/les-caves-de-la-loire-cremant-de-loire-brut/w/8156727
Chassaux,Édition Limitée Roussanne,,Pays d'Oc,France,3.9,446,,,https://www.vivino.com/en/chassaux-edition-limitee-roussanne/w/9980419
Charles de Cazanove,Vieille France Brut Champagne,N.V.,Champagne,France,4.0,4076,,,https://www.vivino.com/en/charles-de-cazanove-vieille-france-brut-champagne/w/1405636
Corinne Perchaud,Chablis,2019,Chablis,France,4.0,53,,,https://www.vivino.com/en/corinne-perchaud-chablis/w/2127767?year=2019
Fortnum and Mason,Blanc de Blancs Champagne Grand Cru,,Champagne Grand Cru,France,4.1,1515,,,https://www.vivino.com/en/fortnum-and-mason-blanc-de-blancs-champagne-grand-cru/w/1389126
Cantina Valpantena,Valpolicella Ripasso,2016,Valpolicella Ripasso,Italy,3.9,1389,,,https://www.vivino.com/en/cantina-sociale-della-valpantena-sca-valpolicella-ripasso/w/1152106?year=2016
Cà Maiol,Prestige Lugana,2017,Lugana,Italy,3.8,934,21.23,GBP,https://www.vivino.com/en/provenza-prestige-lugana/w/1611341?year=2017
La Gioiosa,Valdobbiadene Prosecco Superiore,N.V.,Conegliano-Valdobbiadene Prosecco Superiore,Italy,3.8,13303,,,https://www.vivino.com/en/la-gioiosa-valdobbiadene-prosecco-superiore/w/1148479
The Emissary,Asolo Prosecco Superiore,,Asolo Prosecco,Italy,4.1,40,,,https://www.vivino.com/en/the-emissary-asolo-prosecco-superiore/w/8935467
Romagnoli,Il Pigro Brut Cuvée,2017,Colli Piacentini,Italy,3.6,45,,,https://www.vivino.com/en/romagnoli-il-pigro-brut-cuvee/w/2317290?year=2017
Bottega,Prosecco Il Vino Dei Poeti,N.V.,Prosecco,Italy,3.7,7123,17.01,GBP,https://www.vivino.com/en/bottega-prosecco-il-vino-dei-poeti/w/1187849
Plaimont,Colombelle L'Original Côtes de Gascogne Blanc,2016,Côtes de Gascogne,France,3.7,450,,,https://www.vivino.com/en/plaimont-colombelle-l-original-cotes-de-gascogne-blanc/w/1137792?year=2016
Toro Loco®,Blanco Orgánico,2018,Utiel-Requena,Spain,3.8,317,,,https://www.vivino.com/en/toro-loco-r-blanco-organico/w/5946193?year=2018
